user_screen_name,user_followers_count
VoiceofPD,36
Milca34470919,327
Loudmoreno,829
gra1967,84
maeve_bkk,43
Theresa_Lee17,806
82dParatrooper,6495
tRumpsALyingPig,463
5ft18eh,910
IWork4Equality,1035
wlfmich1,721
akasgtmom,29
atheist_punk1,24520
du_justice,3318
SugamiJack,3980
tea4two20,2505
PlattyPress,21
KevinJoyce419,274
elzey_t,12769
Chopstik,305
ErikBoesch,58
prideentindia,33
therealwombat1,8101
swrb,505
MikeFilippello,38
lyanRAW,11
jwsapp,243
frankgreco1,1106
redbird1031,212
Independent02,276
just_jayne8,67
BVAX,1858
robert_weiter,410
MoosterMe,85
ReasonD10,78
SaltMatthew,759
MonkeyWrnchArmy,186
DaleBleu,38
UOhardknocks,7
bigpadre01,11
jediknight1991,36
OffensiveToons,7
WaltSarx,221
masechi,114522
MaritimeAb,1128
TheCritShot,6
Steven24309452,1
HectorSolon,1607
Emeric_C_Quinn,1320
carolyngrassl,56
GinaBLemos,3036
roxyred808,1616
Casey_P_Hudson,52
Xeroeso,1
LightfootInHwd,2271
agitpopworld,84273
gehtsnoch_gut,123
WwLlXu,502
NextSportStar,42020
Matrix959,15
bos_4u,149
DeboraGauldin1,3
LSTMANSTANDING1,12
NYGfan4ever,7929
AazedineBenamti,19
gould_marston,21
NatashaEJS,141
tcurranmd,1567
jvacatlady,59
ILikeILikeTanks,47
WhatIsT76918744,72
RonaldTooTall,23357
AJ1952Chats,1723
TrumpWillMAGA1,9038
erinbrown3,318
crypticvalentin,465
PlayboyBPAC,869
dahomiek2,47
jetboy24,112
pageboo,389
venezuelaaldia,1357298
wooferzfg,2428
darktemplar_22,49
BirdfingerC,0
_theamber,101
seasquirt99,182
dekha_padhi,1462
Lars9596,43904
TrumpNewsPolls,6628
OuiSuzette,1305
Tracy94509367,20
RhomanXVIII,51
MichelDKerrigan,14328
OrbitingBillLee,744
buradio,10
cherese_cobb,2430
madameshawshank,2525
kyrssy,274
_While_Black,374
